,Probe_Name,Probe_FileName,Best_Match,Best_Match_FileName,Distance,Correct
0,Abel_Pacheco,../../../openbr/data/LFW/img/Abel_Pacheco/Abel_Pacheco_0001.jpg,Paul_Sarbanes,../../../openbr/data/LFW/img/Paul_Sarbanes/Paul_Sarbanes_0002.jpg,0.40953096450719645,0
1,Akhmed_Zakayev,../../../openbr/data/LFW/img/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,Akhmed_Zakayev,../../../openbr/data/LFW/img/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,0.14353417103081828,1
2,Akhmed_Zakayev,../../../openbr/data/LFW/img/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,Akhmed_Zakayev,../../../openbr/data/LFW/img/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,0.3045353163912301,1
3,Amber_Tamblyn,../../../openbr/data/LFW/img/Amber_Tamblyn/Amber_Tamblyn_0001.jpg,Priscilla_Owen,../../../openbr/data/LFW/img/Priscilla_Owen/Priscilla_Owen_0002.jpg,0.55199910964682353,0
4,Anders_Fogh_Rasmussen,../../../openbr/data/LFW/img/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,Anders_Fogh_Rasmussen,../../../openbr/data/LFW/img/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,0.31985774439037651,1
5,Anders_Fogh_Rasmussen,../../../openbr/data/LFW/img/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,Anders_Fogh_Rasmussen,../../../openbr/data/LFW/img/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,0.31985774439037651,1
6,Angela_Bassett,../../../openbr/data/LFW/img/Angela_Bassett/Angela_Bassett_0001.jpg,Angela_Bassett,../../../openbr/data/LFW/img/Angela_Bassett/Angela_Bassett_0005.jpg,0.17652942330378843,1
7,Angela_Bassett,../../../openbr/data/LFW/img/Angela_Bassett/Angela_Bassett_0002.jpg,Angela_Bassett,../../../openbr/data/LFW/img/Angela_Bassett/Angela_Bassett_0004.jpg,0.22388453086119148,1
8,Angela_Bassett,../../../openbr/data/LFW/img/Angela_Bassett/Angela_Bassett_0003.jpg,Robert_Horan,../../../openbr/data/LFW/img/Robert_Horan/Robert_Horan_0002.jpg,0.32440318720606987,0
9,Ann_Veneman,../../../openbr/data/LFW/img/Ann_Veneman/Ann_Veneman_0003.jpg,Ann_Veneman,../../../openbr/data/LFW/img/Ann_Veneman/Ann_Veneman_0005.jpg,0.20681068581607132,1
10,Ann_Veneman,../../../openbr/data/LFW/img/Ann_Veneman/Ann_Veneman_0006.jpg,Ann_Veneman,../../../openbr/data/LFW/img/Ann_Veneman/Ann_Veneman_0010.jpg,0.3581500427466362,1
11,Ann_Veneman,../../../openbr/data/LFW/img/Ann_Veneman/Ann_Veneman_0010.jpg,Ann_Veneman,../../../openbr/data/LFW/img/Ann_Veneman/Ann_Veneman_0010.jpg,0.0,1
12,Anthony_Fauci,../../../openbr/data/LFW/img/Anthony_Fauci/Anthony_Fauci_0001.jpg,Anthony_Fauci,../../../openbr/data/LFW/img/Anthony_Fauci/Anthony_Fauci_0002.jpg,0.28612460248581456,1
13,Antony_Leung,../../../openbr/data/LFW/img/Antony_Leung/Antony_Leung_0001.jpg,Antony_Leung,../../../openbr/data/LFW/img/Antony_Leung/Antony_Leung_0002.jpg,0.14594026698362927,1
14,Antony_Leung,../../../openbr/data/LFW/img/Antony_Leung/Antony_Leung_0002.jpg,Antony_Leung,../../../openbr/data/LFW/img/Antony_Leung/Antony_Leung_0002.jpg,0.0,1
15,Anwar_Ibrahim,../../../openbr/data/LFW/img/Anwar_Ibrahim/Anwar_Ibrahim_0001.jpg,Anwar_Ibrahim,../../../openbr/data/LFW/img/Anwar_Ibrahim/Anwar_Ibrahim_0002.jpg,0.34571530696041014,1
16,Augusto_Pinochet,../../../openbr/data/LFW/img/Augusto_Pinochet/Augusto_Pinochet_0001.jpg,Tom_Poston,../../../openbr/data/LFW/img/Tom_Poston/Tom_Poston_0001.jpg,0.17404932332111148,0
